iter	Passed	Remaining
0	0	32
1	0	19
2	0	15
3	0	13
4	0	11
5	0	10
6	0	9
7	0	9
8	0	8
9	0	8
10	0	8
11	1	7
12	1	7
13	1	7
14	1	7
15	1	7
16	1	6
17	1	6
18	1	6
19	1	6
20	1	6
21	1	6
22	1	6
23	1	6
24	2	6
25	2	6
26	2	5
27	2	5
28	2	5
29	2	5
30	2	5
31	2	5
32	2	5
33	2	5
34	2	5
35	2	5
36	2	4
37	3	4
38	3	4
39	3	4
40	3	4
41	3	4
42	3	4
43	3	4
44	3	4
45	3	4
46	3	4
47	3	4
48	3	4
49	3	3
50	4	3
51	4	3
52	4	3
53	4	3
54	4	3
55	4	3
56	4	3
57	4	3
58	4	3
59	4	3
60	4	3
61	4	2
62	4	2
63	4	2
64	5	2
65	5	2
66	5	2
67	5	2
68	5	2
69	5	2
70	5	2
71	5	2
72	5	2
73	5	1
74	5	1
75	5	1
76	5	1
77	5	1
78	6	1
79	6	1
80	6	1
81	6	1
82	7	1
83	7	1
84	7	1
85	7	1
86	7	1
87	7	1
88	7	0
89	7	0
90	7	0
91	7	0
92	7	0
93	7	0
94	7	0
95	7	0
96	8	0
97	8	0
98	8	0
99	8	0
